rowname,10_WT_B_S18,11_WT_C_S19,12_WT_D_S20,13_TRMB_A_S21,14_TRMB_B_S22,15_TRMB_C_S23,16_TRMB_D_S24,1_WT_A_S9,2_WT_B_S10,3_WT_C_S11,4_WT_D_S12,5_TRMB_A_S13,6_TRMB_B_S14,7_TRMB_C_S15,8_TRMB_D_S16,9_WT_A_S17,aBWT_C_noglu_24_S20_SP,aCWT_D_noglu_24_S21_SP,aFTrmB_C_noglu_24_S48_S1,aGTrmB_D_noglu_24_S42_S1,RWT_A_glu_24_S41_S1,SWT_B_glu_24_S16_SP,TWT_C_glu_24_S17_SP,UWT_D_glu_24_S46_S1,VTrmB_A_glu_24_S25_S1,WTrmB_B_glu_24_S11_S1,XTrmB_C_glu_24_S26_S1,YTrmB_D_glu_24_S18_SP,ZWT_A_noglu_24_S47_S1
HAH_RS19500,202.25672031287513,218.11419739613268,175.09733137366646,140.56728672578996,143.3906084103992,139.306639723502,134.61078133104903,250.89791598937953,263.71838085029856,371.8776335045149,383.66189914129296,283.58056002258456,397.0566771695985,334.10830430220307,324.650606834863,215.82393860534296,235.1540193057683,244.10201011106554,146.56515336452253,88.9484100293854,786.4596782120417,723.3075551553422,641.3184048153657,511.6663144947929,870.6062002465062,742.540965584908,701.9662377486151,780.8776064897096,223.37180126331575
HAH_RS08130,786.5539123278478,837.6849610141328,928.8496530964974,1069.0512069408762,1113.1639337123097,1000.4749580142417,952.4990729627394,1154.8821676065447,1079.8902868020132,1057.6595812219664,1121.943561632307,1175.7686296321008,1177.3593644768096,1255.2480217708937,1248.9743090971801,803.2210498611217,934.5397459748621,838.4106729191624,1255.831945670751,1088.9157985702655,1593.1932901266493,1542.3987787635829,1293.9750355722188,1210.8935947134835,1751.3525725424727,1707.241753530412,1538.9846755858225,1756.3866043559958,926.6488450167244
HAH_RS08135,424.48941300233054,411.9934839704728,538.6327431780406,700.9868640667684,664.1249231639542,753.5222785043973,742.9151982321188,519.6499907944827,587.8939399192427,484.9963052929605,544.157912726296,558.4355643521666,744.6251308079137,635.9506975970282,833.3388188181516,459.46024043302396,919.9565509791555,768.4920067064451,977.3581542781582,916.6367728291401,1202.075319114646,1184.6186054248158,983.5911004240086,991.0721428850754,1347.1942865711328,1254.6381832296722,1191.8165906123227,1288.3304486588506,879.7219960118261
HAH_RS08140,2574.403440031781,3535.1359046571265,3166.760307415168,4109.743567167175,3526.276935776791,3702.17948598519,3206.8036767725857,1636.944455631083,1737.6226912152083,3065.516005466876,1392.4939845327406,1792.0110004504095,2759.8316285585424,2653.090553477619,2594.1030972887625,2549.8374602239487,8455.2149318857,6066.977598036835,8919.646675547232,12480.866375702182,10847.399278110448,10429.855486168904,5641.47604501119,3058.744229025324,7365.386397925725,11935.63059184098,9607.781375794088,12529.910328832246,6617.311401010721
HAH_RS08145,3228.6165353647843,4571.968611119902,3378.5446986956977,4189.275058340977,3641.3667662114535,3917.471565557875,3522.0314558389664,1843.6768208657777,2036.7814868833336,3320.0330169908784,1701.257744001032,2036.3265598544824,3187.9623065501096,2914.3403490534847,2864.989909361164,2977.0353593190607,9661.366684655597,6753.284505861665,9337.743060408133,13256.121991537248,10968.198133088237,10674.948990739555,5642.893323253876,3020.481792017649,8662.60412225309,12200.716210386505,9668.821918207012,12106.542951819752,7507.670149463657
HAH_RS08150,1666.7451951709154,2399.2561713574596,1877.7104297785565,1908.7557881712532,1605.597470490128,1910.1895295419592,1664.7434602586698,1002.6519713882695,1035.0685857088795,1713.7478775949508,865.149939896302,1047.0666831603123,1661.8835995156528,1402.0058750625158,1443.351105546079,1657.6168480513454,4954.032866666483,3431.5345391241503,4729.426080409935,6299.420028186369,5562.660559641562,4958.917717476889,2653.8535094293316,1477.2301660414182,4772.399545278061,6100.734647265051,4980.908260894521,6070.029767916621,3941.229625091389
HAH_RS08155,4266.1186006734215,5764.747700262038,4769.317787892249,4350.187610250763,3699.855040694643,4411.376924577564,3968.4621483545975,2547.5065552329884,2723.700115264151,4200.9446735433985,2170.5175170543266,2815.082405454965,4224.913222868395,3407.6965367146818,3636.2935803764753,3973.830457207655,10522.990455651925,7320.607016798187,9629.330576049131,12418.134339155144,12089.177717392618,10998.218871768087,6017.763418444294,3124.765688960136,9618.677486916475,13471.169160631678,10337.215857628518,13057.94352960616,8481.871534805345
HAH_RS08160,378.29497688148865,436.22839479226536,475.2641851570947,442.04712536136583,466.01947733379745,470.6875857324386,427.6874191657381,386.21364596117974,430.49680352242416,482.16833849824934,408.118434544722,442.82195141988205,340.6631201223222,435.0693806801274,381.51615898746644,446.1103060863017,452.07904486690336,331.19368206023967,408.8396383326155,461.5954330998632,533.8802541675728,563.4333438405782,410.3020512575655,301.5980328840275,616.3776010064698,603.2203990197884,551.653902056792,568.6059077376124,400.44244484179853
HAH_RS08165,3162.4461268673626,3604.6795617979224,3205.1149609541617,5382.2474259480105,6146.9289763300085,7018.099652737033,6752.690207784143,1426.4533201193938,1650.0640193123425,2470.228995180181,1597.3174685364588,1465.8933564244371,2424.922953032881,1959.8938847384684,2252.909784373142,2968.1354030879124,1744.5147013613973,1445.5990900296017,1012.8423493032531,554.2890393410122,2514.812526355798,1972.0167034420238,1259.2517186264145,1066.84677303753,1993.992403725983,2382.758230335344,1741.18147232863,1866.9325305759246,1469.7489108334137
HAH_RS08170,1307.1776923924708,1352.940238920939,828.794035168688,754.6243813700304,866.0038060575426,745.079451854488,823.0000934543884,1192.4698703764893,1124.7119878951469,897.879457320787,1187.6705005290225,1066.6991834695682,1409.8389261819077,933.6297475360627,1258.279581267606,1281.5936972853356,1643.6476026410935,1629.5955800630682,690.3990119013035,538.3719554410169,1474.0839296240738,1350.1271501779856,1517.9049979165895,1578.513087532323,1894.7635772419803,1543.0694102266496,1294.0594991539688,1569.9873564213287,1639.3112585711128
