rowname,10_WT_B_S18,11_WT_C_S19,12_WT_D_S20,13_TRMB_A_S21,16_TRMB_D_S24,1_WT_A_S9,2_WT_B_S10,3_WT_C_S11,4_WT_D_S12,5_TRMB_A_S13,7_TRMB_C_S15,9_WT_A_S17,aBWT_C_noglu_24_S20_SP,aCWT_D_noglu_24_S21_SP,RWT_A_glu_24_S41_S1,SWT_B_glu_24_S16_SP,TWT_C_glu_24_S17_SP,UWT_D_glu_24_S46_S1,ZWT_A_noglu_24_S47_S1
HAH_RS01980,4037.2893652961993,3964.6056466554273,4130.7787694109875,2709.0198483082722,2694.0551619966673,3780.1162778656258,4277.098904397737,5017.706686731735,4476.281581301517,4227.665768795253,4660.139534917464,3477.3581254340293,3637.935602830262,3256.933619317755,3564.173904644792,4216.380846164197,3506.030599430646,2785.2416344011217,3270.2443623714184
HAH_RS01985,33600.58691885843,43801.63943180353,31921.15382911446,42364.22502618668,48679.608827665215,26099.56784156328,26746.26223533719,28959.17586526913,25055.74549103517,27132.81242706569,30298.104897692643,34644.05844537526,35828.11731123732,26600.917457963325,33944.154808766165,31101.78119649612,22001.358353764204,12994.086570716416,25203.424351209225
HAH_RS01990,26259.61320708205,33100.648039119995,25127.8043992285,31016.074807968493,34847.97675225034,21778.508680513747,22798.17093897005,24950.046407735495,22044.48348640962,23410.874047258418,25892.977411464395,26187.7557312516,27950.622130368432,19887.6584886327,28298.36947812225,25359.221440010708,18675.465671977236,12080.503585204653,20030.323920761064
HAH_RS01995,13574.154609904417,12347.77941859095,15769.214958785795,19482.551280347096,21640.65972697071,12752.913725472663,14376.604322161911,13217.817252001161,13875.570425909438,14577.860991508804,13911.524220630707,12602.130251928058,9632.581672852626,10164.73588820197,7370.142705637552,7944.578329453411,8946.616267719466,9927.057976498354,10800.7617392165
HAH_RS02000,4507.48587064472,4426.916860519169,5735.909657045529,5913.592107892448,6326.279407484617,4931.472448751922,4642.091719556678,4239.9411674056,4580.066335706693,4590.283066856847,5788.156540611298,4718.80131983614,9271.487322827265,8319.30178495996,6087.542096290025,5995.999629977956,7288.926869947879,8931.1635369348,9935.490284696696
HAH_RS02005,6676.298023587374,6389.913233606523,6691.069763870194,9233.793263441,9700.634393134094,7518.550313020163,6440.3239271989,5525.492448450057,7078.421075808111,7395.4560521582525,5624.660912621033,7220.347774338713,4884.3709173696325,5376.304082055788,4447.687435937022,4343.793241581212,4377.982231915997,5028.414143470183,5270.065183024611
HAH_RS02010,8344.141648580164,8169.237431434242,7341.04054468007,10412.106774697038,11319.103300278188,7563.937643972237,8244.725027491695,6633.388655835486,8785.605079429488,8284.245037911594,7748.047527714714,8569.360759237205,6504.496896470133,6715.077131008695,6992.808801648162,6316.607994532731,7753.640641923592,7815.880411764597,6391.644741488538
HAH_RS02015,73776.53962717183,77294.67802716001,58728.32435744056,91662.51305163397,102708.30828869031,80147.54255694168,91847.61452561611,69843.62340725643,91829.95399920033,96199.03352700484,84631.09538434398,74885.03894933264,47541.49018049855,53347.893904065015,48205.03373005031,50176.94019949909,53986.002158886,52242.560805429566,47883.91230576363
HAH_RS02020,29309.736087327165,28108.104366153537,22679.691102980134,43048.82150546784,50186.10818777418,29698.13479562061,22337.560287727218,19554.647832122366,30026.88481435557,25650.062763181788,21965.99751652843,31794.5566481446,24570.61106327057,31220.8662819416,21298.86739214612,21480.067966499155,31672.03092080631,35329.41085936439,29499.518739246163
HAH_RS02025,24668.08419814059,31698.060518955503,19033.915911127784,38308.03677092836,42344.84687873854,28429.142073083018,23747.1522583833,21934.10673207516,27687.96752305051,28458.46379564695,23190.672314870597,27413.831812725657,22410.043208135434,26856.066146785946,19389.608037592265,21151.84255656619,26436.11557139669,29210.92610818131,25457.879625486283
