"","10_WT_B_S18","11_WT_C_S19","12_WT_D_S20","13_TRMB_A_S21","16_TRMB_D_S24","1_WT_A_S9","2_WT_B_S10","3_WT_C_S11","4_WT_D_S12","5_TRMB_A_S13","7_TRMB_C_S15","9_WT_A_S17","aBWT_C_noglu_24_S20_SP","aCWT_D_noglu_24_S21_SP","RWT_A_glu_24_S41_S1","SWT_B_glu_24_S16_SP","TWT_C_glu_24_S17_SP","UWT_D_glu_24_S46_S1","ZWT_A_noglu_24_S47_S1"
"HAH_RS08880",1206,1369,1051,954,898,2831,2533,1736,1860,2524,2556,1478,2098,2436,1564,2116,2376,2732,2413
"HAH_RS08885",570,600,453,587,605,989,850,611,614,941,885,733,1294,1264,784,982,1012,1086,1218
"HAH_RS08890",2741,3401,2165,1485,1536,5161,4409,3227,3403,4537,4446,3227,3899,3606,3798,4873,4436,4083,3732
"HAH_RS08895",2008,1649,1121,1165,1121,2545,2112,1237,1882,1963,1717,2288,2781,3219,2221,2176,2556,2674,2932
"HAH_RS08900",9770,1868,6657,3995,3183,8218,2114,2008,6403,2198,3070,4827,5461,2870,7045,31240,19405,8521,15198
"HAH_RS08905",340401,296298,289603,670797,639916,188322,103846,70958,141668,131839,104313,422434,690535,1348947,605936,629752,437342,676885,638418
"HAH_RS08910",267596,318432,264584,575718,670903,175189,87656,68924,128718,164583,73879,310594,62342,289713,114207,179348,70277,84003,55193
"HAH_RS08915",30054,37830,20954,14678,15797,47062,37490,27481,27850,35848,41212,36220,35316,35624,33286,44196,39247,34919,31863
"HAH_RS08920",7230,10542,4638,5791,6664,13469,8581,6235,5227,7161,8541,9876,11791,11098,11581,11643,12472,12969,11811
"HAH_RS19930",25,46,25,13,12,155,123,83,87,103,126,48,49,60,314,572,619,674,69
"HAH_RS08925",428,477,358,280,229,586,453,314,281,450,542,531,689,682,497,494,598,754,723
"HAH_RS08930",149,190,128,109,131,229,184,144,121,187,225,158,338,287,201,227,260,306,275
"HAH_RS08935",209,250,221,171,162,248,205,144,100,198,271,240,454,407,344,346,413,391,397
"HAH_RS08940",245,258,207,178,182,238,201,135,122,229,253,246,456,444,289,287,368,390,389
"HAH_RS08945",206,231,172,116,149,245,193,148,182,209,268,241,469,373,349,304,379,467,450
"HAH_RS08950",2936,3727,2436,2215,2164,3000,2530,1865,1682,2789,2704,3503,4345,4528,2568,2435,2530,2828,3978
"HAH_RS08955",8819,12365,7264,5873,6551,10383,8888,6525,5648,9030,9544,10374,13125,13211,6784,7635,7850,8239,11891
"HAH_RS08960",6127,8269,6087,4656,4987,15039,13051,9843,8257,11303,11881,7996,18526,18525,25514,31380,38237,32736,17902
"HAH_RS08965",2342,2690,2328,1673,1712,5885,4646,3875,3218,3957,4674,3375,6907,7463,10861,12773,16813,15043,7066
"HAH_RS08970",2781,2773,2094,1560,1966,3603,2991,2202,2718,2866,3086,3237,6006,5540,4074,4447,5806,6241,5580
"HAH_RS08975",3608,4817,2610,2454,2761,5349,4209,3300,3191,3993,3792,4332,5958,5386,6508,6520,6212,5890,5256
"HAH_RS19935",529,386,527,390,373,992,809,529,580,769,736,659,716,747,760,940,1062,1315,834
"HAH_RS08980",3451,5277,2371,1842,2231,4629,3903,3308,2725,4115,4253,3953,14278,12180,9127,8905,8622,8466,12342
"HAH_RS08985",1029,1302,770,689,767,1545,1417,1203,1101,1386,1503,1184,2215,2112,1705,2036,1900,1817,2041
"HAH_RS08990",2217,2992,1608,1016,1153,3361,3330,2908,2125,2853,3721,2571,4892,4856,4167,4610,4679,4356,4524
"HAH_RS08995",9448,8950,8495,9498,11859,5310,5824,4374,4395,5219,6631,11786,11206,12621,1784,1869,2922,3272,10035
"HAH_RS09000",221,177,197,210,170,278,310,175,192,300,318,235,411,464,267,273,306,355,508
"HAH_RS09005",2787,2087,2874,4358,5819,2773,2084,1492,1988,2021,2164,3320,2434,2792,1278,1494,1758,2165,2639
"HAH_RS09010",1385,1887,1134,1277,1442,3804,2964,1976,2275,3198,2941,2045,3915,4871,2579,2588,4046,6040,4288
"HAH_RS09015",536,698,332,310,315,566,462,332,309,445,414,563,1248,1043,862,980,788,642,953
"HAH_RS09020",196,272,134,36,45,222,242,294,198,208,229,186,459,485,258,329,333,244,581
"HAH_RS09025",7984,11461,5758,3804,5223,8367,7438,6402,5489,7478,7113,9603,23453,23281,10581,10464,11304,11495,20582
"HAH_RS09030",68741,102238,43786,68556,80224,157847,133682,103534,92300,142362,149866,91847,182041,215018,234225,258132,228433,183911,181955
"HAH_RS09035",34610,49286,22123,30868,36478,76632,64323,49043,47073,68742,69871,46008,93850,108335,120721,132804,123736,98876,97817
"HAH_RS09040",2714,3087,1712,1728,1870,4903,4720,3081,2839,4668,4553,3257,2917,2920,3433,4344,3637,3024,3434
"HAH_RS09045",2454,2770,2153,1922,2105,3834,3867,2598,2412,3757,3431,2712,5355,5027,2668,3450,3018,2799,4916
"HAH_RS09050",3445,4986,3100,1850,2091,5318,4490,3845,3322,4452,4243,4162,9669,8415,7217,8097,7298,6899,8209
"HAH_RS09055",3637,3689,2407,2122,2407,1710,1651,1203,1037,1371,1415,4067,7107,7049,889,1189,1644,1669,7024
"HAH_RS09060",486,620,304,174,219,747,740,565,384,654,922,471,1517,1360,856,1133,1428,1462,1693
"HAH_RS09065",1095,693,768,648,695,1324,1186,755,997,1119,1098,1171,1059,1090,676,982,946,931,1299
"HAH_RS09070",22747,27025,17305,33206,40101,42941,37220,22974,26132,39754,38130,28151,47138,51039,19797,22990,30234,33922,49596
"HAH_RS09075",5069,4975,4162,5826,7297,9286,6918,4386,5258,7152,6533,6684,8635,10227,5553,6153,7115,8210,11192
"HAH_RS09080",2570,2460,1968,2237,2233,2674,2336,1561,2118,2560,2522,3123,8314,7242,4357,6235,5529,4972,8106
"HAH_RS09085",5034,7103,4416,6212,6694,9617,9659,8894,6255,9512,11990,6102,17349,16889,12938,15500,15947,14245,14108
"HAH_RS09090",20650,26619,13057,7112,8424,39073,31538,24747,23489,28104,32839,24826,26088,29997,24875,28924,28083,27101,29513
"HAH_RS09095",30695,42115,20637,19247,25299,47961,44345,28803,33159,44380,38559,35767,57929,64199,34483,42766,49296,48758,56278
"HAH_RS09100",1437,1403,1091,1163,1461,2059,1721,1145,1204,1526,1649,1583,2720,2412,2076,2119,2716,2796,2682
"HAH_RS09105",2010,2432,1491,1364,1528,3350,3069,2535,1888,2847,3366,2337,4290,3772,3965,4864,4306,3731,4002
"HAH_RS09110",2885,4418,2064,619,716,4458,3945,2868,2842,4132,4051,3619,5783,4793,3937,4777,4084,3559,4812
"HAH_RS09115",147,179,121,77,91,204,182,153,141,170,209,218,425,388,303,395,374,363,346
"HAH_RS09120",147,182,99,94,103,190,168,127,107,157,153,153,451,383,249,286,331,354,379
"HAH_RS09125",3807,5303,2841,2782,3192,7961,7266,5418,5055,7292,6692,4554,6238,6454,5714,8166,7331,6247,5907
"HAH_RS19940",523,769,285,734,801,1009,867,506,657,675,650,478,423,271,453,532,609,394,548
"HAH_RS09130",298,264,291,187,225,234,266,141,162,234,161,280,588,351,252,372,262,193,449
"HAH_RS09135",4549,5388,3627,4657,5561,6570,6681,4135,4978,6888,5986,4979,11420,12339,5329,6347,6935,7027,11793
"HAH_RS09140",2076,1712,2122,1317,1279,2525,2225,1619,1925,2280,2299,2265,4912,4902,2615,3242,3641,4011,4460
"HAH_RS19945",104,81,75,36,38,110,120,113,114,107,135,94,157,147,124,194,173,143,156
"HAH_RS09145",604,816,518,336,362,821,732,628,488,686,816,695,1489,1347,1070,1333,1119,1065,1227
"HAH_RS09150",1021,935,898,503,470,1360,1282,1071,994,1211,1093,1060,1689,1709,1304,2181,1936,1687,1469
"HAH_RS09155",1375,1499,1098,1264,1245,1845,1819,1330,1285,1709,1620,1502,2244,2025,1562,1842,1750,1792,1895
"HAH_RS09160",92,105,55,23,14,175,162,107,124,124,130,105,185,245,247,250,275,271,210
"HAH_RS19950",117,126,55,35,47,175,126,103,127,134,124,125,183,193,150,190,204,224,174
"HAH_RS09165",2162,3098,1550,1760,1951,3584,3323,2269,2142,3128,2867,2561,5520,4943,4100,4941,4470,3568,4405
"HAH_RS09170",3313,4375,2216,2692,2829,5463,4963,3440,3154,4842,4431,3791,8647,7821,6022,7219,6679,5175,6836
"HAH_RS09175",734,964,506,362,436,1463,1151,1004,843,1090,1183,817,1568,1738,1580,1965,2054,2019,1530
"HAH_RS09180",7899,8376,5729,6291,8169,15990,13371,8759,9135,13569,11768,9947,18747,16376,18953,23784,31702,22826,17235
"HAH_RS09185",1192,1319,899,417,456,1434,1465,940,929,1365,1299,1106,1692,1562,1226,1162,1225,1351,1838
"HAH_RS09190",786,1095,549,579,734,1218,991,774,574,917,988,971,1423,1350,1417,1179,1174,1174,1340
"HAH_RS09195",1238,1586,913,774,837,1783,1491,1344,1118,1422,1661,1366,2130,1902,2381,2666,2445,2094,1853
"HAH_RS09200",751,835,547,487,479,1080,1025,702,742,1020,978,860,1138,1088,893,1122,954,901,1041
"HAH_RS09205",596,690,446,517,494,775,637,551,541,562,613,616,1143,1079,1006,1253,1088,924,1044
"HAH_RS09210",1992,2778,1429,1348,1635,2271,1739,1466,1353,1746,1915,2427,4589,3946,4752,5027,4584,3884,3712
"HAH_RS09215",3259,2734,2530,3005,2994,4593,3912,2345,3007,3313,3342,3843,3977,4906,2606,3393,4664,5194,4561
"HAH_RS09220",4760,5957,4180,3312,3094,12493,13031,11541,7892,12166,16785,5879,7822,10351,6882,9687,11002,12452,9505
"HAH_RS09225",384,630,274,436,513,495,410,287,262,369,410,491,1352,959,1244,1146,896,677,1052
"HAH_RS09230",281,307,275,125,134,307,339,365,207,270,399,277,526,500,472,607,529,418,605
"HAH_RS09235",3292,3830,3110,2574,2506,2544,2707,2261,1804,2697,3009,3447,9375,7301,4842,5342,3950,3092,7702
"HAH_RS09240",963,1094,741,550,670,864,922,709,604,806,879,984,2565,2054,1446,1573,1270,945,2257
"HAH_RS09245",478,571,331,306,297,624,552,366,330,483,444,464,747,718,623,729,609,566,713
"HAH_RS09250",480,557,361,428,421,369,365,458,253,351,403,471,2001,1536,868,989,684,525,1527
"HAH_RS09255",143,176,91,126,145,168,150,172,92,141,129,162,542,393,314,267,240,213,502
"HAH_RS09260",73,62,80,85,102,31,25,16,11,24,22,78,137,135,25,17,26,22,171
"HAH_RS19955",18,9,9,9,11,3,8,4,3,0,3,17,30,18,19,6,11,8,43
"HAH_RS09265",206,195,138,138,137,121,132,105,113,107,150,197,331,293,230,192,197,191,340
"HAH_RS09270",113,143,111,117,144,40,81,99,47,47,87,75,681,375,243,318,130,76,551
"HAH_RS19960",0,0,0,3,0,1,1,3,0,0,0,0,8,3,7,1,2,0,6
"HAH_RS09275",5,1,9,5,4,0,6,1,1,2,2,1,40,29,7,6,4,1,41
"HAH_RS09280",8,7,1,4,3,1,5,1,4,3,7,8,42,15,17,8,11,10,23
"HAH_RS09285",11,14,6,13,10,6,8,2,8,7,9,17,16,13,4,13,8,18,13
"HAH_RS09290",389,305,256,281,312,228,186,118,129,149,140,384,655,715,141,123,183,219,668
"HAH_RS09295",270,306,182,226,243,364,297,183,234,273,275,294,483,593,241,289,420,472,534
"HAH_RS09300",66,82,64,61,77,75,70,41,45,49,52,79,209,223,139,87,143,165,197
"HAH_RS09305",55,49,29,33,48,57,44,24,35,41,49,42,122,144,55,75,67,66,113
"HAH_RS09310",140,153,80,117,109,178,138,114,97,148,134,138,292,267,193,169,189,175,341
"HAH_RS09315",348,364,256,129,142,166,181,214,111,141,313,343,1211,901,839,906,712,395,1018
"HAH_RS19965",3,5,6,1,4,6,2,5,3,2,3,3,24,14,19,13,8,7,17
"HAH_RS09320",587,653,418,1164,1315,794,881,806,585,901,1141,720,1648,1183,1244,1676,1399,976,1663
"HAH_RS09325",625,653,528,1764,1946,867,751,528,529,716,751,764,1095,1198,722,787,921,1128,1099
"HAH_RS09330",2707,2531,1532,1048,1031,2752,2054,1280,1724,2183,1720,3254,3680,4145,2248,2207,2451,2655,3836
"HAH_RS09335",2111,2744,1485,522,640,1789,1531,871,973,1529,1260,2580,5227,3910,2918,2919,2095,1486,4224
"HAH_RS19120",590355,448686,485971,585056,692670,512474,341573,191770,343730,289364,276755,562306,638248,424603,485512,567181,571707,449348,450809
"HAH_RS09340",477,414,395,364,357,855,865,551,704,921,865,596,870,820,624,880,864,792,853
"HAH_RS09345",1070,1192,766,818,850,1371,1068,686,787,1047,876,1242,1349,1266,909,1008,1092,1078,1429
"HAH_RS09350",73,36,55,33,34,89,70,31,41,41,45,73,32,45,35,62,54,36,42
"HAH_RS09355",419,429,312,464,523,768,716,572,468,737,735,475,729,733,773,931,1118,1152,717
"HAH_RS09360",340,337,297,536,661,523,433,303,270,414,489,378,586,482,453,511,542,546,601
"HAH_RS09365",217,248,223,364,387,376,294,205,157,224,282,281,513,421,460,424,463,492,554
"HAH_RS09370",2754,3387,2240,2074,2159,4158,3350,2513,2589,3308,3864,3343,8003,8504,5446,5692,6477,7482,7782
"HAH_RS09375",391,401,335,270,264,542,431,313,339,350,428,425,1161,1250,920,838,1069,1213,1225
"HAH_RS09380",552,577,430,230,286,1393,1098,848,732,1050,605,805,984,1184,664,964,1252,1494,1087
"HAH_RS09385",6324,7645,4052,3896,4892,9808,8436,5765,6180,8910,7594,7318,10915,12156,7176,8338,8781,9030,11859
"HAH_RS09390",1032,1007,955,429,590,925,1108,806,786,993,855,1068,2605,2183,1152,1470,1262,941,2083
"HAH_RS09395",888,903,693,656,870,1322,1383,905,1023,1432,1312,1045,1173,1468,651,934,1066,1472,1362
"HAH_RS09400",531,390,362,190,183,483,539,327,496,496,452,634,650,700,427,577,537,415,656
"HAH_RS09405",1333,1952,1196,1031,1042,1859,1904,1413,1156,1632,2009,1477,5473,4140,3237,3767,3133,2611,4253
"HAH_RS09410",5839,7085,4355,5167,6410,9643,9612,5996,6544,9041,9477,6495,14952,13851,8836,10979,11033,9738,13783
"HAH_RS09415",602,909,491,518,656,1214,1087,673,630,1027,1158,757,1710,1618,1183,1186,1450,1315,1734
"HAH_RS09420",11034,9908,8992,11523,10006,14436,15165,12694,8346,14616,14019,11629,15115,13680,15040,27872,19385,15832,14539
"HAH_RS09425",709,518,670,712,579,974,998,931,559,916,963,807,874,907,892,1402,1217,1235,916
"HAH_RS09430",86,68,56,21,11,121,141,83,77,102,140,80,93,93,154,181,130,108,106
"HAH_RS09435",3492,4083,2913,2529,2860,4676,4818,3056,3150,5130,3789,3591,6947,5794,3486,4768,3662,3113,6663
"HAH_RS09440",4001,4214,3109,2997,3413,5119,5287,3148,3514,5315,4422,4392,8744,7755,4101,5294,4453,3898,7777
"HAH_RS09445",5075,5063,3534,7590,8641,14026,11933,6082,7235,12653,9082,5851,6538,5183,8078,11908,11362,7628,5169
"HAH_RS09450",743,1298,527,900,971,2157,1844,1077,979,1903,1311,753,898,603,1240,1878,1850,1145,809
"HAH_RS09455",3334,6713,2621,7440,7715,18758,12431,6797,7796,14938,14396,4910,5009,3750,6957,10920,12567,9463,4823
"HAH_RS09460",2696,3245,2035,2867,3435,4999,3872,2285,2531,3935,3677,3252,5240,4539,4447,4637,5283,5607,4697
"HAH_RS09465",1263,1237,929,1360,1526,2333,1855,1087,1337,1825,1915,1442,2544,2111,2054,2199,2517,2635,2478
"HAH_RS09470",600,739,349,380,392,1114,1176,735,705,1150,1137,615,828,777,1247,1937,1541,982,785
"HAH_RS09475",15,24,17,19,12,30,45,29,31,33,42,30,33,51,20,22,41,39,36
"HAH_RS09480",57,55,48,31,28,73,67,42,32,56,44,66,76,88,76,74,73,102,68
"HAH_RS09485",107,73,71,49,62,152,158,100,109,123,131,95,152,171,106,150,161,175,185
"HAH_RS09490",33,28,20,11,17,40,29,31,25,28,35,26,65,81,44,51,46,67,72
"HAH_RS09495",9,7,2,3,7,9,9,12,9,15,16,5,21,20,17,20,17,27,18
"HAH_RS09500",17,8,22,11,9,15,10,19,11,27,24,15,17,22,19,31,28,32,16
"HAH_RS09505",1356,1334,792,716,819,1382,1316,1059,907,1191,1489,1393,2638,2591,1846,1975,2166,2525,2604
"HAH_RS09510",87,63,59,28,30,50,66,45,56,50,62,71,286,228,142,194,162,130,242
"HAH_RS09515",12259,15983,10181,15155,18296,25324,27301,18028,17144,27687,24174,14228,33641,32418,14738,21598,22858,21742,31930
"HAH_RS09520",2807,4757,2008,1740,1909,4328,3890,3040,2198,3715,3407,3089,6627,5852,4981,4872,4755,4176,5405
"HAH_RS09525",4078,6245,3261,3214,3788,5994,5774,4602,3527,5558,5495,4657,9627,8334,6638,7439,6679,5803,7996
"HAH_RS09530",1347,1139,854,768,822,1527,1231,777,1006,1087,1086,1351,2288,2382,1518,1861,2452,2776,2577
"HAH_RS09535",2903,3503,2315,3339,3612,5091,5004,3398,3460,5066,4571,3420,5879,5889,3655,4910,4630,4503,5252
"HAH_RS09540",3173,3496,2472,1822,1835,5469,5519,3628,3806,5559,5181,3711,6987,6774,4602,6206,5777,5938,6504
"HAH_RS09545",2336,2549,1750,1506,1398,5079,3723,2184,2834,3954,3539,2973,2464,3047,2021,2783,3282,3600,3447
"HAH_RS09550",219,250,196,105,119,312,309,171,176,261,267,245,663,579,322,357,410,393,677
"HAH_RS09555",2077,2124,1869,1189,1358,2739,2489,1547,1864,2433,2407,2304,5295,5157,2439,3284,3154,2870,5034
"HAH_RS09560",7454,6596,5582,5323,6277,10268,10102,5704,8690,9892,10526,8237,14720,15924,8622,11038,11427,11038,16179
"HAH_RS09565",389,317,241,149,129,684,584,400,432,494,684,418,496,637,480,476,714,838,819
"HAH_RS09570",1542,1389,1711,2042,2124,3515,4248,3286,2697,4215,4909,1855,2430,2918,2023,3095,3452,4130,2949
"HAH_RS09575",119,105,113,84,79,219,277,251,123,246,289,121,152,231,111,177,204,216,194
"HAH_RS09580",852,992,634,292,207,1758,2782,2196,1429,2619,3014,906,617,704,876,1966,1405,792,878
"HAH_RS09585",285,216,231,65,46,428,398,314,276,346,479,338,186,309,198,254,333,343,378
"HAH_RS09590",7861,9161,5371,3891,4322,11806,9439,5713,7631,9207,8678,8975,11669,11428,6802,7467,9448,9141,12297
"HAH_RS09595",336,438,245,280,312,483,449,332,322,413,365,410,1024,1053,484,463,568,703,977
"HAH_RS09600",107,209,70,49,53,117,145,95,108,146,99,138,364,553,160,174,227,240,445
"HAH_RS09605",86,139,65,23,52,77,95,67,55,86,96,95,321,534,73,91,120,141,389
"HAH_RS09610",108,100,74,33,37,99,92,68,62,89,87,134,277,441,70,100,109,139,353
"HAH_RS09615",209,237,170,70,103,264,234,159,176,207,206,300,563,902,164,216,311,425,735
"HAH_RS09620",1238,1421,951,665,722,2360,2610,1651,1700,2485,2388,1332,2514,2527,1737,2425,2664,2572,2547
"HAH_RS09625",255,294,172,158,140,536,468,360,380,446,475,297,499,535,396,435,583,652,683
"HAH_RS09630",2369,2832,1739,1580,1727,5443,4670,3055,3203,5170,4122,2774,3055,4128,2072,2572,3032,3705,3931
"HAH_RS09635",1167,1338,985,759,790,2266,2198,1499,1709,2085,2574,1387,3230,3813,2171,2515,3381,3883,3684
"HAH_RS09640",1212,1214,1273,2895,2982,2512,2429,1945,1639,2505,2844,1350,2644,2524,1695,2139,2282,2162,2462
"HAH_RS09645",564837,623868,415077,1133868,1351449,1253619,991311,649105,612514,1175266,1062166,754383,336177,527158,198383,275534,438508,573183,302502
"HAH_RS09650",518226,1284929,204413,105751,160781,915285,705219,604313,415795,602273,844100,628991,1928848,1877443,1965856,1772158,1877206,1745062,1897622
"HAH_RS09655",10806,16590,7331,8561,10700,18887,15502,12405,11137,15628,16807,13937,15574,13344,14671,17046,14593,12467,13349
"HAH_RS09660",195,171,145,122,111,340,342,218,250,291,366,223,428,373,364,418,453,380,595
"HAH_RS09665",3301,3789,2629,3353,4044,6643,4907,2986,4042,5235,4939,3909,5938,6900,4648,4484,5853,7958,6636
"HAH_RS09670",2395,1996,1374,666,663,2068,1758,1037,1352,1598,1534,2666,3444,3912,2104,2187,2474,2852,4050
"HAH_RS09675",23228,26432,17102,13168,14363,51299,40060,23619,29990,40711,40089,30228,31002,37978,22717,28994,39674,49326,39232
"HAH_RS09680",62839,87369,31623,24158,27877,174352,142710,85522,98749,142998,130509,84501,75368,99274,56763,67389,95307,116714,91385
"HAH_RS09685",88465,130504,42634,32692,37779,250313,205860,127364,138386,209936,187534,119223,120299,146938,81179,98908,137288,164696,137268
"HAH_RS09690",24880,29395,14428,9454,11145,77589,62578,41173,34113,60702,32854,37647,39328,42635,26825,34593,50232,56865,45172
"HAH_RS09695",11534,14465,9634,11363,12899,13256,12449,9978,7406,13109,14076,13079,34834,26460,16203,16847,18613,17074,25779
"HAH_RS09700",77,49,97,47,45,119,57,33,57,42,46,73,32,37,22,17,22,39,59
"HAH_RS09705",442,484,593,294,310,425,363,366,304,370,496,474,1116,1001,576,695,667,601,907
"HAH_RS09710",307,428,375,205,253,345,334,333,222,278,401,361,946,774,480,512,490,386,770
"HAH_RS09715",519,808,591,321,352,652,534,564,374,595,751,637,1513,1223,708,877,858,822,1176
"HAH_RS09720",156,214,151,126,97,195,155,156,110,161,211,135,423,384,200,204,254,188,331
"HAH_RS09725",279,462,327,219,236,432,419,320,283,440,466,384,1002,798,487,584,596,566,839
"HAH_RS09730",2131,2962,2026,1856,2124,3356,3176,2957,1975,3246,3723,2489,6131,5129,3635,4112,3754,3438,5105
"HAH_RS09735",580,796,428,256,309,726,648,489,430,599,706,592,2229,1981,1226,1299,1322,1085,1969
"HAH_RS09740",29489,38196,11036,3723,4145,71960,59673,34908,34759,53243,52635,37626,25259,34384,18905,23974,33938,40562,31281
"HAH_RS09745",19300,16698,10341,2833,4496,66992,51573,38343,18212,36697,15703,32383,29990,31246,22138,31413,41218,42592,35988
"HAH_RS09750",6643,9424,2837,838,867,16662,12967,8057,8125,11323,11089,8794,6771,7752,5059,5452,8547,9662,8898
"HAH_RS09755",24940,36224,9774,3105,3596,64649,55533,33392,33229,51217,49852,33943,24095,30186,18308,22150,30845,37420,31213
"HAH_RS09760",535,555,611,510,487,843,895,521,675,839,1181,680,1755,1808,1211,1673,1618,1597,2126
"HAH_RS09765",2137,2517,1570,1583,1872,4461,4940,2935,3133,5081,4909,2557,4228,4167,2466,3331,3558,3490,4396
"HAH_RS09770",3026,4396,2722,2950,3286,6662,6034,3815,3732,6609,5758,3444,8679,8210,3588,4990,5226,5632,8640
"HAH_RS09775",3229,4381,2161,2792,3315,5598,4985,3400,3665,5508,4462,4133,8220,8911,5714,7168,7383,7342,7515
"HAH_RS09780",10801,17207,7849,9827,12218,22746,19161,12436,13371,21643,19922,13956,26038,27525,18526,21603,23641,23959,25550
"HAH_RS09785",923,760,811,837,753,958,1028,694,704,855,1032,879,1041,868,683,910,1040,917,819
"HAH_RS09790",1747,2212,1554,1233,1320,4388,3525,2150,2517,3694,3033,2140,2830,3280,2063,2581,2823,3431,3273
"HAH_RS09795",1904,1966,1541,1497,1429,4121,3478,1986,2508,3656,3013,2341,2537,3227,1985,2378,2729,3501,2866
"HAH_RS09800",15906,20777,12122,15505,18130,31772,27019,17777,18239,28387,28970,19632,39103,38365,18861,24834,26818,25769,39493
"HAH_RS09805",596,659,428,320,288,928,938,655,591,856,817,624,501,626,549,863,770,712,658
"HAH_RS09810",11111,13273,7786,9084,10282,16026,13905,8707,9809,14039,13297,13284,23460,21354,11793,13309,14093,13300,22918
"HAH_RS09815",953,1009,707,336,375,1314,1164,868,843,1115,1132,1138,2004,2780,1106,1248,1971,2610,2331
"HAH_RS09820",101,112,72,31,45,145,103,84,70,133,142,97,203,268,95,140,208,248,243
"HAH_RS09825",1545,2032,925,1042,1420,2129,1861,1204,1364,1755,1505,1856,2955,3167,1655,2205,2147,2035,2839
"HAH_RS09830",5214,6417,3783,6039,7668,10053,8274,5382,5709,8235,8410,6102,8499,9834,7003,8312,9511,8819,9384
"HAH_RS09835",13335,15249,9495,13266,15487,23156,19872,12347,15090,20727,21149,15502,22932,24747,17059,20021,22482,21655,25958
"HAH_RS09840",33164,43618,23505,33102,39086,64183,53993,33918,37337,59324,55232,40339,60322,64742,41843,50754,55666,54477,65810
"HAH_RS09845",22352,27000,15039,19092,21748,39504,34424,19221,23146,36638,30204,26440,33848,38281,23823,28163,30758,30053,36129
"HAH_RS09850",10794,13584,7751,7882,8680,21446,16924,10373,12641,17551,15710,13343,15840,17548,12767,13584,17058,18785,19170
"HAH_RS09855",1854,2636,1331,1745,2165,2465,2157,1548,1834,2335,2823,2022,6480,3870,3584,3541,4311,4149,3684
"HAH_RS09860",3259,3927,2573,3373,3975,3879,3520,2084,3148,3489,4276,3465,12751,7760,6751,6434,7312,7095,8805
"HAH_RS09865",2249,3722,1868,2891,3889,3643,2958,1810,1986,3151,3672,2589,8395,5696,4710,3863,4997,4928,6326
"HAH_RS09870",20462,28236,14362,20801,24394,28598,26140,15608,19577,27693,29765,23907,61794,46137,31854,30983,35027,34491,46920
"HAH_RS09875",13347,18064,9217,13330,14995,19065,18889,10227,12872,19196,19549,15258,37047,29248,19495,19910,22020,21552,30214
"HAH_RS09880",14522,19366,9649,12299,13743,21919,22160,11968,14668,22771,21545,17122,33582,28770,19509,20362,23169,22697,29109
"HAH_RS09885",529,657,433,507,680,673,783,817,413,680,948,546,915,867,1149,1440,969,487,805
"HAH_RS09890",1796,1923,2323,1784,1572,2365,1707,1406,1295,1399,1644,2066,3278,3530,5071,4910,4847,5114,3062
"HAH_RS09895",584,268,408,342,332,854,500,268,524,372,368,719,305,407,238,327,387,403,491
"HAH_RS09900",438,377,402,358,283,640,760,639,449,658,832,455,623,713,477,783,641,669,641
"HAH_RS09905",195,160,236,221,140,230,178,161,128,174,190,174,606,566,200,298,363,580,408
"HAH_RS09910",189,165,213,176,119,220,186,136,137,150,208,206,537,569,186,312,355,507,451
"HAH_RS09915",1998,2473,1539,1303,1445,3215,2842,1988,2128,2986,2946,2486,4094,3683,3196,4038,3643,3182,3780
"HAH_RS09920",673,716,504,351,360,869,667,404,547,668,583,682,840,790,755,854,891,812,873
"HAH_RS09925",388,560,401,314,395,578,458,358,314,421,434,505,737,603,620,735,636,552,703
"HAH_RS09930",1994,2825,1534,1077,1455,2737,2634,2022,1946,2497,2869,2363,7445,6655,5007,6073,5170,4654,6259
"HAH_RS09935",16,17,30,12,13,17,22,20,15,10,25,17,58,54,45,71,81,60,52
"HAH_RS09940",9567,13003,7857,5485,5974,15214,13976,9956,8752,14100,12589,10564,16478,17129,12400,14809,14288,14212,17083
"HAH_RS09945",1042,939,771,646,724,1215,1000,593,799,974,885,1057,1218,1138,822,1190,1106,918,1188
"HAH_RS09950",786,925,633,471,475,1387,1364,972,881,1392,1595,963,1237,1302,1417,1827,1733,2043,1225
"HAH_RS09955",3165,3488,3397,2021,2043,4027,4217,2617,2458,3959,3315,3358,6902,6351,2020,2800,2814,11862,7026
"HAH_RS09960",9404,12367,7134,7812,8847,11036,10571,8137,6817,10029,10854,10879,18084,14678,9612,11609,10409,8296,15428
"HAH_RS09965",242,208,197,236,233,108,89,36,66,82,81,234,499,383,216,241,215,139,405
"HAH_RS09970",10895,16159,7351,6078,6783,19463,17956,12497,11558,17288,18354,12316,17411,17040,15881,19573,18406,16222,16352
"HAH_RS09975",13488,15119,10053,9818,10909,11560,9842,6959,7102,9230,10470,15067,33350,25749,19255,19070,16992,15580,30714
"HAH_RS09980",1370,1966,1142,1197,1370,1988,1624,1341,1118,1532,1922,1630,6556,5840,4940,5415,4912,4030,5229
"HAH_RS09985",1497,2024,1140,1174,1293,1924,1627,1216,1054,1490,1895,1711,6328,5425,4873,5293,4790,4041,5078
"HAH_RS09990",1538,2002,987,975,1178,3066,2768,2027,1695,2584,2494,1902,2910,2692,2451,3353,3218,2806,2705
