"","10_WT_B_S18","11_WT_C_S19","12_WT_D_S20","13_TRMB_A_S21","16_TRMB_D_S24","1_WT_A_S9","2_WT_B_S10","3_WT_C_S11","4_WT_D_S12","5_TRMB_A_S13","7_TRMB_C_S15","9_WT_A_S17","aBWT_C_noglu_24_S20_SP","aCWT_D_noglu_24_S21_SP","RWT_A_glu_24_S41_S1","SWT_B_glu_24_S16_SP","TWT_C_glu_24_S17_SP","UWT_D_glu_24_S46_S1","ZWT_A_noglu_24_S47_S1"
"HAH_RS05420",789,698,529,403,461,896,727,450,729,836,852,874,1019,1388,755,882,1004,1009,1268
"HAH_RS05425",613,653,451,277,332,782,746,438,476,686,703,683,1557,1420,724,941,787,751,1802
"HAH_RS05430",1351,7626,1499,526,695,4297,3619,2591,1131,3757,4677,1329,7916,1114,4563,5541,6002,5702,1097
"HAH_RS19450",4,6,4,0,1,8,3,5,0,5,14,0,8,4,17,15,21,24,3
"HAH_RS05435",137,96,146,96,89,190,173,138,122,146,198,163,95,152,98,154,130,170,164
"HAH_RS05440",6584,7605,8275,8421,9176,13047,8223,5604,6542,8973,9657,7827,7981,6572,6945,7804,8268,11692,8571
"HAH_RS05445",576,515,403,263,264,350,313,232,271,240,271,515,1355,1072,1083,1046,887,709,1316
"HAH_RS05450",2630,2723,1916,1776,2201,4621,3422,1972,3239,3478,3125,3176,3066,3569,3287,3511,4153,4692,3234
"HAH_RS05455",1404,2010,876,844,920,2381,1965,1468,1342,1839,2287,1608,1637,1748,1947,2123,2084,1913,1746
"HAH_RS05460",186,205,218,195,196,226,179,209,105,149,252,181,415,334,434,460,246,206,409
"HAH_RS05470",1473,1723,997,1622,1723,1040,938,569,609,802,798,1424,3587,3066,2285,2335,1907,1601,2706
"HAH_RS05475",1085,1453,830,654,690,1693,1571,1107,1093,1619,1577,1311,2066,2171,1434,1700,1454,1274,2044
"HAH_RS05480",2587,3614,1934,2286,2485,3913,3201,2298,2034,3308,2943,3227,4296,4311,2645,3264,2706,2557,4079
"HAH_RS05485",2122,2823,1580,1019,1189,3187,3295,2244,1954,3321,3106,2103,3816,4085,2013,2502,2669,2687,4129
"HAH_RS05490",1013,1079,1008,735,967,1416,1401,1031,801,1467,1141,1157,2362,2481,1164,1563,1429,1441,2672
"HAH_RS05495",6705,11129,4279,4957,6101,5449,5177,4000,3321,4664,6210,7098,21676,14053,15827,15942,10718,6973,17385
"HAH_RS05500",1764,2379,2063,1102,1336,1202,829,527,511,765,962,1652,5095,3344,2491,2607,1707,1570,4111
"HAH_RS05505",1309,1724,1271,816,915,1266,1006,637,639,937,889,1486,1938,1618,1389,1555,1275,1162,2030
"HAH_RS05510",410,533,412,288,351,420,358,256,239,317,360,442,634,511,554,580,434,364,733
"HAH_RS05515",7226,9609,4923,3527,3307,14324,10353,6791,9075,11826,9410,9317,13207,15705,15510,17938,21268,33236,14628
"HAH_RS05520",1130,1366,954,1175,1369,1140,1012,766,628,1008,921,1252,2090,1664,1146,1338,1179,1272,1933
"HAH_RS05525",2444,3104,2230,2130,2338,2969,2793,1961,2087,2810,2669,2763,4282,3825,2263,2534,2289,2282,4012
"HAH_RS05530",1128,1344,1754,1421,1357,1588,1584,1193,974,1488,1458,1157,2160,1984,1474,2119,2015,1652,1905
"HAH_RS05535",643,824,381,210,222,867,784,492,609,677,834,555,871,901,1100,1222,1157,660,1063
"HAH_RS05540",54787,121482,21171,2397,2992,76815,77422,48942,45394,76659,98102,31676,10070,1386,93342,103794,74333,1981,20034
"HAH_RS05545",42981,80329,14809,2509,2698,52387,57774,36485,38079,57837,70125,23498,6693,1296,60802,72574,47920,1517,12847
"HAH_RS05550",38778,77555,13618,1325,1505,53930,58795,33520,34548,58207,74890,21611,5391,765,56113,65460,44727,1047,10175
"HAH_RS05555",564,655,469,576,700,559,479,360,352,409,448,801,1464,1389,750,738,667,1025,1357
"HAH_RS05560",2338,2896,1567,959,1252,3234,3198,1955,2174,2976,2902,2551,3675,1877,3474,4154,3567,2262,4327
"HAH_RS05565",3418,4686,2358,1586,2066,5279,4828,3310,3206,4812,4865,3886,5271,3029,5057,5704,4924,3366,5756
"HAH_RS19895",1591,1357,1161,765,936,1242,879,613,664,708,864,1651,1708,1445,1398,1658,1469,1280,1954
"HAH_RS05570",3069,3356,2412,3914,5301,2563,1880,1265,1351,1634,1977,3738,3635,3413,3479,3322,2986,3106,3684
"HAH_RS19685",344,359,203,137,133,296,302,232,199,239,334,338,713,530,1021,1163,1043,746,737
"HAH_RS05575",609,657,416,367,425,778,807,629,512,615,827,663,1135,914,1536,1489,1445,1254,1387
"HAH_RS05580",1852,3484,1267,811,931,1208,1053,998,771,839,1068,2117,13869,6514,13307,14830,6149,3387,7835
"HAH_RS05585",711,679,555,763,707,892,853,604,580,821,897,795,1068,1056,899,1126,1021,1011,1139
"HAH_RS05590",5721,7481,5117,4043,4477,6315,5608,4101,3615,5374,6117,5970,13109,10605,7633,7570,6814,5912,11569
"HAH_RS05595",1733,2024,1450,1442,1583,1460,1525,1114,1019,1421,1359,1832,4042,3613,2446,3098,2423,1831,3681
"HAH_RS05600",3161,3590,2200,2273,2506,2679,2628,1654,1689,2316,1981,3370,4602,3917,3335,3783,3157,2447,4127
"HAH_RS05605",464,606,392,318,352,335,345,330,243,321,424,535,1715,1148,1229,1311,956,833,1384
"HAH_RS05610",220,244,129,62,67,167,155,134,104,134,162,202,512,385,446,479,372,271,419
"HAH_RS05615",1009,1454,646,514,655,936,851,607,603,858,942,1220,2526,1766,2142,2266,1686,1200,1969
"HAH_RS05620",144,168,129,66,76,105,111,87,88,106,109,156,601,514,235,253,241,181,691
"HAH_RS05625",55,73,37,29,34,50,41,31,31,46,42,71,100,95,86,87,78,74,100
"HAH_RS05630",396,529,378,368,373,479,451,314,258,447,496,432,1325,1081,620,681,625,447,1132
"HAH_RS05635",601,828,601,592,695,685,696,552,414,637,847,651,2242,1678,973,1115,958,704,1863
"HAH_RS05640",662,740,515,447,490,830,670,518,436,670,743,743,1241,1078,728,755,786,654,1294
"HAH_RS05645",221,307,167,173,218,161,128,96,109,131,144,243,470,409,263,401,261,198,404
"HAH_RS05650",1108,1539,712,1282,1635,833,909,707,626,928,1101,1016,2999,1754,1585,1981,1011,676,2426
"HAH_RS05655",4338,5268,2423,1935,2463,3000,2804,2002,1999,2611,2928,5206,16567,12253,7339,6933,5113,4163,16025
"HAH_RS05660",3752,4786,2778,3287,3771,3359,3089,2419,1949,2913,3086,3793,9159,7282,5282,5088,3967,3244,8583
"HAH_RS05665",15528,20976,9726,9766,13075,14814,13073,8228,8723,12192,13507,17418,41674,39240,23984,26897,25609,18183,39899
"HAH_RS05670",22235,31708,13747,14665,19870,21697,18520,12396,13265,18018,22217,24568,52852,49958,31251,32764,31524,23447,51822
